Alanyl-tRNA synthetases (EC 6.1.1.7)
Class: II
3D known: Yes

SYA1_LACP7  (A9KMW7)    , SYA2_LACP7  (A9KLZ5)    , SYAC_BOMMO  (P21894)    ,
SYS_PARC0   (A1TTM6)    , SYS_PARDP   (A1B4S2)    , SYS_PARL1   (A7HXK4)    ,
SYS_PARMW   (Q7U518)    , SYS_PARP8   (B2JEF5)    , SYS_PARPJ   (B2T1A6)    ,
SYS_PARXL   (Q143D9)    , SYS_PASMU   (P57836)    , SYS_PECAS   (Q6D3V0)    ,
SYS_PECCP   (C6DF54)    , SYS_PEDPA   (Q03EA5)    , SYS_PELPB   (B4SF71)    ,
SYS_PELPD   (A1ALM7)    , SYS_PELTS   (A5D6D5)    , SYS_PELUB   (Q4FM02)    ,
SYS_PETMO   (A9BEX3)    , SYS_PHEZH   (B4RDI1)    , SYS_PHOLL   (Q7N6E7)    ,
SYS_PHOPR   (Q6LT00)    , SYS_PHYMT   (B3R0F5)    , SYS_PICTO   (Q6KZN5)    ,
SYS_POLAQ   (A4SWP6)    , SYS_POLNA   (A1VSK4)    , SYS_POLNS   (B1XVE1)    ,
SYS_PROA2   (B4S6M3)    , SYS_PROM0   (A3PE37)    , SYS_PROM1   (A2C409)    ,
SYS_PROM2   (A8G5Y6)    , SYS_PROM3   (A2C798)    , SYS_PROM5   (A2BXQ6)    ,
SYS_PROMA   (Q7VAZ8)    , SYS_PROMH   (B4EV93)    , SYS_PROMM   (Q7V608)    ,
SYS_PROMP   (Q7V0R7)    , SYS_PROMS   (A2BSA4)    , SYS_PROMT   (Q46JN0)    ,
SYS_PSE14   (Q48H74)    , SYS_PSEA6   (Q15T16)    , SYS_PSEA7   (A6V4H5)    ,
SYS_PSEA8   (B7UW10)    , SYS_PSEAB   (Q02NA4)    , SYS_PSEAE   (Q9I0M6)    ,
SYS_PSECP   (B8H9Q1)    , SYS_PSEE4   (Q1IBD0)    , SYS_PSEF5   (Q4K9V7)    ,
SYS_PSEFS   (C3JY54)    , SYS_PSELT   (A8F3R6)    , SYS_PSEMY   (A4XUX4)    ,
SYS_PSEP1   (A5W1H6)    , SYS_PSEPF   (Q3KA84)    , SYS_PSEPG   (B0KLW8)    ,
SYS_PSEPK   (Q88FT2)    , SYS_PSEPW   (B1JBE0)    , SYS_PSESM   (Q87ZS9)    ,
SYS_PSET1   (Q3IH21)    , SYS_PSEU2   (Q4ZRL5)    , SYS_PSYA2   (Q4FR92)    ,
SYS_PSYCK   (Q1Q9M6)    , SYS_PSYIN   (A1SVE4)    , SYS_PSYWF   (A5WFN9)    ,
SYS_PYRAB   (Q9UZ21)    , SYS_PYRAE   (Q8ZTP4)    , SYS_PYRCJ   (A3MX52)    ,
SYS_PYRFU   (Q8U1K2)    , SYS_PYRHO   (O58441)    , SYS_PYRIL   (A1RRX4)    ,
SYS_PYRNV   (B1Y9Y4)    , SYS_RALN1   (Q8XWY3)    , SYS_RALPJ   (B2U9Y5)    ,
SYS_RHIE6   (B3PXU3)    , SYS_RHIEC   (Q2K967)    , SYS_RHIJ3   (Q1MHM2)    ,
SYS_RHILO   (Q98LC8)    , SYS_RHILW   (B5ZMG0)    , SYS_RHIME   (Q92Q22)    ,
SYS_RHIR8   (B9JEH1)    , SYS_RHIWR   (A5V3Y9)    , SYS_RHOBA   (Q7UXX6)    ,
SYS_RHOCS   (B6ISM1)    , SYS_RHOJR   (Q0S9E8)    , SYS_RHOOB   (C1B914)    ,
SYS_RHOP2   (Q2IWG6)    , SYS_RHOP5   (Q07N47)    , SYS_RHOPA   (Q6N5X5)    ,
SYS_RHOPB   (Q214W8)    , SYS_RHOPS   (Q136H4)    , SYS_RHOPT   (B3Q6H9)    ,
SYS_RHORT   (Q2RTH5)    , SYS_RICAE   (C3PLR3)    , SYS_RICAH   (A8GPX3)    ,
SYS_RICB8   (A8GY58)    , SYS_RICBR   (Q1RKF4)    , SYS_RICCK   (A8EZY3)    ,
SYS_RICCN   (Q92GA7)    , SYS_RICFE   (Q4UK35)    , SYS_RICM5   (A8F2S3)    ,
SYS_RICPR   (Q9ZCG5)    , SYS_RICPU   (C4K208)    , SYS_RICRO   (B0BV96)    ,
SYS_RICRS   (A8GTQ7)    , SYS_RICTY   (Q68VW6)    , SYS_RIPO1   (B7JY63)    ,
SYS_ROSCS   (A7NJB8)    , SYS_ROSDO   (Q166J5)    , SYS_ROSS1   (A5UYX1)    ,
SYS_RUBXD   (Q1AX26)    , SYS_RUEPO   (Q5LR07)    , SYS_RUEST   (Q1GHY9)    ,
SYS_SACD2   (Q21K22)    , SYS_SACS2   (O33780)    , SYS_SALA4   (B5F146)    ,
SYS_SALAR   (A9MHZ1)    , SYS_SALCH   (Q57R38)    , SYS_SALDC   (B5FQ36)    ,
SYS_SALEP   (B5QYP4)    , SYS_SALG2   (B5R8I1)    , SYS_SALHS   (B4TD24)    ,
SYS_SALNS   (B4T128)    , SYS_SALPA   (Q5PGI6)    , SYS_SALPB   (A9N7X6)    ,
SYS_SALPC   (C0PXT0)    , SYS_SALPK   (B5BBR2)    , SYS_SALRD   (Q2S1G4)    ,
SYS_SALSV   (B4TRS5)    , SYS_SALTI   (P67564)    , SYS_SALTY   (P67563)    ,
SYS_SERP5   (A8GCF0)    , SYS_SHEAM   (A1S6H5)    , SYS_SHEB2   (B8EET7)    ,
SYS_SHEB5   (A3D4J4)    , SYS_SHEB8   (A6WNG1)    , SYS_SHEB9   (A9L269)    ,
SYS_SHEDO   (Q12NE5)    , SYS_SHEFN   (Q083B6)    , SYS_SHEHH   (B0TUP4)    ,
SYS_SHELP   (A3QEI8)    , SYS_SHEON   (Q8EEQ9)    , SYS_SHEPA   (A8H4R2)    ,
SYS_SHEPC   (A4Y6Z5)    , SYS_SHEPW   (B8CP82)    , SYS_SHESA   (A0KWW5)    ,
SYS_SHESH   (A8FV67)    , SYS_SHESM   (Q0HIS7)    , SYS_SHESR   (Q0HV57)    ,
SYS_SHESW   (A1RJJ4)    , SYS_SHEWM   (B1KG49)    , SYS_SHIB3   (B2TUI5)    ,
SYS_SHIBS   (Q323L0)    , SYS_SHIDS   (Q32E12)    , SYS_SHIF8   (Q0T8M9)    ,
SYS_SHIFL   (P0A8L4)    , SYS_SHISS   (Q3Z3M7)    , SYS_SHOC1   (Q5WM19)    ,
SYS_SINFN   (C3MBU2)    , SYS_SINMW   (A6U8N8)    , SYS_SODGM   (Q2NTY9)    ,
SYS_SOLM1   (C4XHA0)    , SYS_SOLUE   (Q024V4)    , SYS_SORC5   (A9FM88)    ,
SYS_SPHAL   (Q1GV79)    , SYS_STAA1   (A7WWP0)    , SYS_STAA2   (A6TXF9)    ,
SYS_STAA3   (Q2FKP7)    , SYS_STAA8   (P95689)    , SYS_STAA9   (A5INQ0)    ,
SYS_STAAB   (Q2YUR2)    , SYS_STAAC   (Q5HJY7)    , SYS_STAAE   (A6QD48)    ,
SYS_STAAM   (P61083)    , SYS_STAAN   (P99178)    , SYS_STAAR   (Q6GKT6)    ,
SYS_STAAS   (Q6GD81)    , SYS_STAAT   (A8YYT2)    , SYS_STAAW   (Q8NYY2)    ,
SYS_STACT   (B9DPW5)    , SYS_STAEQ   (Q5HK07)    , SYS_STAES   (Q8CU95)    ,
SYS_STAHJ   (Q4LAK8)    , SYS_STAMF   (A3DP85)    , SYS_STAS1   (Q4A172)    ,
SYS_STRA1   (Q3K326)    , SYS_STRA3   (P67565)    , SYS_STRA5   (P67566)    ,
SYS_STRCO   (Q9ZBX1)    , SYS_STRE4   (C0M858)    , SYS_STREM   (B4U1C3)    ,
SYS_STRGC   (A8AYV0)    , SYS_STRGG   (B1VP80)    , SYS_STRM5   (B4SP40)    ,
SYS_STRMK   (B2FKE4)    , SYS_STRMU   (Q8DSB7)    , SYS_STRP1   (Q99YE2)    ,
SYS_STRP2   (Q04M63)    , SYS_STRP3   (P0DG56)    , SYS_STRP4   (B5E7F2)    ,
SYS_STRP6   (Q5XAF1)    , SYS_STRP7   (C1C5E8)    , SYS_STRP8   (Q8NZN7)    ,
SYS_STRPB   (Q1JA99)    , SYS_STRPC   (Q1JKF1)    , SYS_STRPD   (Q1JFE4)    ,
SYS_STRPF   (Q1J594)    , SYS_STRPG   (A2RCY1)    , SYS_STRPI   (B1I9K5)    ,
SYS_STRPJ   (B8ZLH8)    , SYS_STRPM   (Q48RS8)    , SYS_STRPN   (Q97SG0)    ,
SYS_STRPQ   (P0DG57)    , SYS_STRPZ   (B5XHX4)    , SYS_STRR6   (Q8DR22)    ,
SYS_STRS7   (C0ME07)    , SYS_STRSV   (A3CQ45)    , SYS_STRTD   (Q03MA3)    ,
SYS_STRU0   (B9DVD8)    , SYS_STRZJ   (C1CCH7)    , SYS_STRZP   (C1CIR2)    ,
SYS_STRZT   (C1CPS1)    , SYS_STUS1   (A4VLU7)    , SYS_SULAC   (Q4J8I4)    ,
SYS_SULDN   (Q30PY7)    , SYS_SULIA   (C3N6A0)    , SYS_SULIK   (C4KHR4)    ,
SYS_SULIL   (C3MQH9)    , SYS_SULIM   (C3MW57)    , SYS_SULIN   (C3NGY7)    ,
SYS_SULIY   (C3NEQ7)    , SYS_SULNB   (A6QBP2)    , SYS_SULSY   (B2VA33)    ,
SYS_SULTO   (Q970Y4)    , SYS_SYMTH   (Q67TJ8)    , SYS_SYNC1   (Q3A7Q8)    ,
SYS_SYNE7   (Q8GMR7)    , SYS_SYNFM   (A0LI63)    , SYS_SYNJA   (Q2JXL1)    ,
SYS_SYNJB   (Q2JKN4)    , SYS_SYNP2   (B1XJM0)    , SYS_SYNPW   (A5GN16)    ,
SYS_SYNR3   (A5GRE1)    , SYS_SYNS3   (Q0I8C9)    , SYS_SYNS9   (Q3AV47)    ,
SYS_SYNSC   (Q3AM35)    , SYS_SYNWW   (Q0B0Y5)    , SYS_SYNY3   (P73201)    ,
SYS_TERTT   (C5BIK4)    , SYS_THEAB   (B7IFW4)    , SYS_THEAC   (Q9HKX5)    ,
SYS_THEFY   (Q47TZ5)    , SYS_THEGJ   (C5A226)    , SYS_THEKO   (Q5JE75)    ,
SYS_THEM4   (A6LJM6)    , SYS_THEMA   (Q9X199)    , SYS_THENN   (B9K8V5)    ,
SYS_THEON   (B6YWW5)    , SYS_THEP1   (A5IMJ4)    , SYS_THEP3   (B0KAI8)    ,
SYS_THEPX   (B0K0Z5)    , SYS_THERP   (B9L131)    , SYS_THESM   (C6A4A3)    ,
SYS_THESQ   (B1LBU6)    , SYS_THET2   (P34945)    , SYS_THET8   (Q5SJX7)    ,
SYS_THEVB   (Q8DIN0)    , SYS_THEVO   (Q979Z3)    , SYS_THEYD   (B5YGU2)    ,
SYS_THIDA   (Q3SJH9)    , SYS_THISH   (B8GQ80)    , SYS_TOLAT   (C4L937)    ,
SYS_TREDE   (Q73KB2)    , SYS_TREPA   (O83653)    , SYS_TREPS   (B2S3N6)    ,
SYS_TRIEI   (Q10YR2)    , SYS_TRIL1   (B3EAQ9)    , SYS_TRIV2   (Q3MCE0)    ,
SYS_TROW8   (Q83HA1)    , SYS_TROWT   (Q83FJ7)    , SYS_UREP2   (B1AI95)    ,
SYS_UREPA   (Q9PR38)    , SYS_UREU1   (B5ZAT6)    , SYS_VARPS   (C5CWN5)    ,
SYS_VEREI   (A1WP10)    , SYS_VESOH   (A5CVL9)    , SYS_VIBA3   (B7VH19)    ,
SYS_VIBC1   (A7MSW8)    , SYS_VIBC3   (A5F2H1)    , SYS_VIBCH   (Q9KSZ6)    ,
SYS_VIBCM   (C3LU07)    , SYS_VIBPA   (Q87QP1)    , SYS_VIBVU   (Q8D8M6)    ,
SYS_VIBVY   (Q7MLV2)    , SYS_WIGBR   (Q8D265)    , SYS_WOLPM   (Q73IW5)    ,
SYS_WOLPP   (B3CQ06)    , SYS_WOLSU   (Q7M9J5)    , SYS_WOLTR   (Q5GSH2)    ,
SYS_XANAC   (Q8PLY2)    , SYS_XANC5   (Q3BUY8)    , SYS_XANC8   (Q4UTD4)    ,
SYS_XANCB   (B0RUV8)    , SYS_XANCP   (Q8PA92)    , SYS_XANOM   (Q2P3Y4)    ,
SYS_XANP2   (A7INN1)    , SYS_XYLF2   (B2I631)    , SYS_XYLFA   (Q9PB58)    ,
SYS_XYLFM   (B0U3G5)    , SYS_XYLFT   (Q87BX8)    , SYS_YERE8   (A1JMG0)    ,
SYS_YERP3   (A7FJY0)    , SYS_YERPA   (Q1CA85)    , SYS_YERPB   (B2KA12)    ,
SYS_YERPE   (Q8ZGC4)    , SYS_YERPG   (A9R5V2)    , SYS_YERPN   (Q1CGF1)    ,
SYS_YERPP   (A4TN29)    , SYS_YERPS   (Q66CJ9)    , SYS_YERPY   (B1JRF0)    ,
SYS_ZYMMO   (Q5NNV0)    

-----------------------------------------------------------------------

Threonyl-tRNA synthetases (EC 6.1.1.3)
Class: II
3D known: Yes

SYT1_BACSU  (P18255)    , SYT2_BACSU  (P18256)    , SYTC1_DICDI (Q54J66)    ,
SYTC2_BOVIN (A6QNM8)    , SYTC2_DICDI (Q8MP20)    , SYTC2_HUMAN (A2RTX5)    ,
SYTC2_MOUSE (Q8BLY2)    , SYTC2_XENTR (Q0V9S0)    , SYTC_AERPE  (Q9YDW0)    ,
SYTC_ARATH  (Q8GZ45)    , SYTC_BOVIN  (Q3ZBV8)    , SYTC_CAEEL  (P52709)    ,
SYTC_ENCCU  (Q8SRH2)    , SYTC_ENTBH  (B7XIA1)    , SYTC_HUMAN  (P26639)    ,
SYTC_METS5  (A4YH38)    , SYTC_MOUSE  (Q9D0R2)    , SYTC_RAT    (Q5XHY5)    ,
SYTC_SACS2  (Q97VW8)    , SYTC_SCHPO  (P87144)    , SYTC_SULAC  (Q4J9C4)    ,
SYTC_SULIA  (C3N1B5)    , SYTC_SULIK  (C4KKV9)    , SYTC_SULIL  (C3MKT5)    ,
SYTC_SULIM  (C3MUC7)    , SYTC_SULIN  (C3NMY1)    , SYTC_SULIY  (C3N9B3)    ,
SYTC_SULTO  (Q973C8)    , SYTC_YEAST  (P04801)    , SYTM1_ARATH (O04630)    ,
SYTM2_ARATH (F4IFC5)    , SYTM_HUMAN  (Q9BW92)    , SYTM_MOUSE  (Q3UQ84)    ,
SYTM_RAT    (Q68FW7)    , SYTM_SCHPO  (O13969)    , SYTM_YEAST  (P07236)    ,
SYT_ACET2   (A3DET1)    , SYT_ACHLI   (A9NF46)    , SYT_ACIAD   (Q6F860)    ,
SYT_ACIB3   (B7H005)    , SYT_ACIB5   (B7I688)    , SYT_ACIBC   (B2HTH0)    ,
SYT_ACIBS   (B0VKJ4)    , SYT_ACIBT   (A3M299)    , SYT_ACIBY   (B0V5P2)    ,
SYT_ACIC5   (C1F9K5)    , SYT_ACICJ   (A5G0L2)    , SYT_ACIET   (B9MHX8)    ,
SYT_ACIF2   (B7J7T0)    , SYT_ACIF5   (B5EN57)    , SYT_ACISJ   (A1W8I6)    ,
SYT_ACTP2   (A3MYU1)    , SYT_ACTP7   (B3H061)    , SYT_ACTPJ   (B0BSM2)    ,
SYT_ACTSZ   (A6VNZ2)    , SYT_AERHH   (A0KKP9)    , SYT_AERS4   (A4SMA4)    ,
SYT_AGRFC   (Q8UEL1)    , SYT_ALKEH   (Q0AAL5)    , SYT_ALLAM   (B9JWF4)    ,
SYT_ALTMD   (B4RSL8)    , SYT_ANAD2   (B8J823)    , SYT_ANADE   (Q2IJC0)    ,
SYT_ANAMF   (B9KH76)    , SYT_ANAMM   (Q5P9F6)    , SYT_ANASK   (B4UAM8)    ,
SYT_ANOFW   (B7GGN9)    , SYT_AQUAE   (O67583)    , SYT_ARCFU   (O29703)    ,
SYT_AROAE   (Q5P7X5)    , SYT_ARTS2   (A0JXC7)    , SYT_AYWBP   (Q2NIG3)    ,
SYT_AZOPC   (B6YQ95)    , SYT_AZOSB   (A1K4E1)    , SYT_AZOVD   (C1DF42)    ,
SYT_BACFN   (Q5LEQ6)    , SYT_BACFR   (Q64VP2)    , SYT_BACTN   (Q8AAP2)    ,
SYT_BACVZ   (A7Z7I1)    , SYT_BARBK   (A1USJ2)    , SYT_BARHE   (Q6G3K1)    ,
SYT_BARQU   (Q6FZZ7)    , SYT_BART1   (A9IVB0)    , SYT_BAUCH   (Q1LT04)    ,
SYT_BDEBA   (Q6MML0)    , SYT_BIFA0   (B8DUF4)    , SYT_BIFLD   (B3DRX5)    ,
SYT_BIFLO   (Q8G6C2)    , SYT_BIFLS   (B7GR13)    , SYT_BORA1   (Q2L2M5)    ,
SYT_BORAP   (Q0SMD6)    , SYT_BORBR   (Q7WKF7)    , SYT_BORBU   (O51662)    ,
SYT_BORBZ   (B7J0G5)    , SYT_BORDL   (B5RMR3)    , SYT_BORGP   (Q660F3)    ,
SYT_BORHD   (B2S162)    , SYT_BORPA   (Q7W912)    , SYT_BORPD   (A9IRH6)    ,
SYT_BORPE   (Q7VY64)    , SYT_BORRA   (B5RQ59)    , SYT_BORT9   (A1R0E4)    ,
SYT_BRUA1   (B2S5S6)    , SYT_BRUA2   (Q2YQ07)    , SYT_BRUAB   (Q57D65)    ,
SYT_BRUC2   (A9M582)    , SYT_BRUMB   (C0RJ44)    , SYT_BRUME   (Q8YH89)    ,
SYT_BRUSI   (B0CGM0)    , SYT_BRUSU   (Q8G0L8)    , SYT_BUCA5   (B8D8S6)    ,
SYT_BUCAI   (P57225)    , SYT_BUCAP   (P46244)    , SYT_BUCAT   (B8D730)    ,
SYT_BUCBP   (P59554)    , SYT_BURA4   (B1YP13)    , SYT_BURCJ   (B4E7I6)    ,
SYT_BURCM   (Q0BG06)    , SYT_BURL3   (Q39H55)    , SYT_BURM1   (A9ABF9)    ,
SYT_BURM7   (A3MJT8)    , SYT_BURM9   (A2S2N6)    , SYT_BURMA   (Q62KI2)    ,
SYT_BURMS   (A1V3R3)    , SYT_BURO0   (B1K091)    , SYT_BURP0   (A3NUI4)    ,
SYT_BURP1   (Q3JT13)    , SYT_BURP6   (A3N8T1)    , SYT_BURPS   (Q63TM2)    ,
SYT_BURTA   (Q2SVD8)    , SYT_BURVG   (A4JDU4)    , SYT_CALMQ   (A8MBZ5)    ,
SYT_CALS4   (Q8R9A4)    , SYT_CAMC1   (A7ZAZ7)    , SYT_CAMC5   (A7GVZ2)    ,
SYT_CAMHC   (A7I107)    , SYT_CAMJ8   (A8FK07)    , SYT_CAMJD   (A7H1S0)    ,
SYT_CAMJE   (Q9PIS3)    , SYT_CAMJJ   (A1VXT5)    , SYT_CAMJR   (Q5HWW3)    ,
SYT_CAMLR   (B9KEB1)    , SYT_CARHZ   (Q3ABS6)    , SYT_CAUSK   (B0T0Z7)    ,
SYT_CAUVC   (Q9AAX8)    , SYT_CAUVN   (B8GZS7)    , SYT_CELJU   (B3PL16)    ,
SYT_CENSY   (A0RU76)    , SYT_CERS1   (A3PLC6)    , SYT_CERS4   (Q3J0X4)    ,
SYT_CERS5   (A4WQU1)    , SYT_CERSK   (B9KKC7)    , SYT_CHESB   (Q11JM1)    ,
SYT_CHLAB   (Q5L4T1)    , SYT_CHLCH   (Q3APV9)    , SYT_CHLCV   (Q821I3)    ,
SYT_CHLFF   (Q256F9)    , SYT_CHLL2   (B3EEC1)    , SYT_CHLMU   (Q9PJF9)    ,
SYT_CHLPB   (B3EKG9)    , SYT_CHLPM   (A4SCK4)    , SYT_CHLPN   (Q9Z7A0)    ,
SYT_CHLT2   (B0B8F5)    , SYT_CHLT3   (B3QUU7)    , SYT_CHLTA   (Q3KLB6)    ,
SYT_CHLTB   (B0BA34)    , SYT_CHLTE   (Q8KAN0)    , SYT_CHLTR   (O84585)    ,
SYT_CHRSD   (Q1QWK7)    , SYT_CHRVO   (Q7NYC6)    , SYT_CITBB   (B5EBX9)    ,
SYT_CLOAB   (Q97GK4)    , SYT_CLOB1   (A7FY87)    , SYT_CLOB6   (C3KTK0)    ,
SYT_CLOBA   (B2UYW3)    , SYT_CLOBB   (B2TIT5)    , SYT_CLOBH   (A5I6L8)    ,
SYT_CLOBJ   (C1FKN0)    , SYT_CLOBK   (B1IMV3)    , SYT_CLOBL   (A7GI05)    ,
SYT_CLOBM   (B1L0T7)    , SYT_CLOD6   (Q189B8)    , SYT_CLOK1   (B9E5W0)    ,
SYT_CLOK5   (A5N258)    , SYT_CLONN   (A0PZN1)    , SYT_CLOP1   (Q0TMX8)    ,
SYT_CLOPE   (Q8XI02)    , SYT_CLOPS   (Q0SQM4)    , SYT_CLOTE   (Q891T0)    ,
SYT_COLP3   (Q480A9)    , SYT_CORA7   (C3PGS1)    , SYT_CORDI   (Q6NGW2)    ,
SYT_COREF   (Q8FPJ3)    , SYT_CORGL   (Q8NPZ0)    , SYT_CORJK   (Q4JVC7)    ,
SYT_COXBU   (Q83C10)    , SYT_CUPNH   (Q0KBZ3)    , SYT_CUPPJ   (Q472N7)    ,
SYT_CUPTR   (B3R4J1)    , SYT_CUTAK   (Q6A8U3)    , SYT_CYTH3   (Q11UK3)    ,
SYT_DECAR   (Q47CM4)    , SYT_DEHM1   (Q3Z8G2)    , SYT_DEHMB   (A5FRB3)    ,
SYT_DEHMC   (Q3ZXB5)    , SYT_DEIDV   (C1D0W2)    , SYT_DEIGD   (Q1IY82)    ,
SYT_DEIRA   (Q9RSP3)    , SYT_DELAS   (A9C3D4)    , SYT_DESAH   (C0QAP1)    ,
SYT_DESAL   (B8FN26)    , SYT_DESDA   (B8J4E4)    , SYT_DESOH   (A9A078)    ,
SYT_DESRM   (A4J4Y7)    , SYT_DESVH   (Q728R5)    , SYT_DESVM   (B8DPN2)    ,
SYT_DESVV   (A1VBB4)    , SYT_DICNV   (A5EVK6)    , SYT_DINSH   (A8LQX9)    ,
SYT_ECO24   (A7ZMI6)    , SYT_ECO27   (B7USA2)    , SYT_ECO45   (B7MAS9)    ,
SYT_ECO55   (B7L6J2)    , SYT_ECO57   (Q8XE27)    , SYT_ECO5E   (B5YQ07)    ,
SYT_ECO7I   (B7NT58)    , SYT_ECO81   (B7MVJ7)    , SYT_ECO8A   (B7M1C7)    ,
SYT_ECOBW   (C4ZYI1)    , SYT_ECODH   (B1XGI1)    , SYT_ECOHS   (A8A0R2)    ,
SYT_ECOK1   (A1ABQ2)    , SYT_ECOL5   (Q0THB0)    , SYT_ECOL6   (P0A8M4)    ,
SYT_ECOLC   (B1IPK9)    , SYT_ECOLI   (P0A8M3)    , SYT_ECOLU   (B7N556)    ,
SYT_ECOSE   (B6IBD7)    , SYT_ECOSM   (B1LE12)    , SYT_ECOUT   (Q1RB76)    ,
SYT_EDWI9   (C5B846)    , SYT_EHRCJ   (Q3YQP0)    , SYT_EHRCR   (Q2GI92)    ,
SYT_EHRRG   (Q5FGP1)    , SYT_EHRRW   (Q5H9Z4)    , SYT_ENT38   (A4W9M3)    ,
SYT_ENTFA   (Q830D0)    , SYT_ERWT9   (B2VEM1)    , SYT_ERYLH   (Q2N6X5)    ,
SYT_ESCF3   (B7LQ71)    , SYT_EXISA   (C4L461)    , SYT_FINM2   (B0S169)    ,
SYT_FLAJ1   (A5FP01)    , SYT_FLAPJ   (A6GY22)    , SYT_FRAP2   (B0TY89)    ,
SYT_FRASN   (A8LE67)    , SYT_FRAT1   (Q14I20)    , SYT_FRATF   (A7NDB6)    ,
SYT_FRATH   (Q2A2J0)    , SYT_FRATM   (B2SGS3)    , SYT_FRATN   (A0Q762)    ,
SYT_FRATO   (Q0BL41)    , SYT_FRATT   (Q5NGL8)    , SYT_FRATW   (A4IX68)    ,
SYT_FUSNN   (Q8RFS6)    , SYT_GEOKA   (Q5KWD2)    , SYT_GEOSL   (Q74D04)    ,
SYT_GEOSM   (C6DYJ5)    , SYT_GEOSW   (C5D639)    , SYT_GLAP5   (B8F5H9)    ,
SYT_GLOVI   (Q7NCU0)    , SYT_GLUDA   (A9HFP5)    , SYT_GLUOX   (Q5FSP9)    ,
SYT_GRABC   (Q0BRP0)    , SYT_HAEDU   (Q7VKR9)    , SYT_HAEI8   (Q4QK77)    ,
SYT_HAEIE   (A5UBX5)    , SYT_HAEIG   (A5UEK1)    , SYT_HAEIN   (P43014)    ,
SYT_HAHCH   (Q2SDJ2)    , SYT_HALH5   (Q9K866)    , SYT_HALHL   (A1WU53)    ,
SYT_HALMA   (Q5UX65)    , SYT_HALS3   (B0R6G6)    , SYT_HALSA   (Q9HP27)    ,
SYT_HALWD   (Q18H54)    , SYT_HAMD5   (C4K776)    , SYT_HELAH   (Q17VZ5)    ,
SYT_HELHP   (Q7VJ09)    , SYT_HELP2   (B6JPM2)    , SYT_HELPG   (B5Z9Q1)    ,
SYT_HELPH   (Q1CV33)    , SYT_HELPJ   (Q9ZMV3)    , SYT_HELPS   (B2URV1)    ,
SYT_HELPY   (P56071)    , SYT_HERAR   (A4G619)    , SYT_HISS1   (Q0I3M2)    ,
SYT_HISS2   (B0UU42)    , SYT_HYDCU   (Q31F14)    , SYT_HYPBU   (A2BLF3)    ,
SYT_HYPNA   (Q0BXC2)    , SYT_IDILO   (Q5QYN4)    , SYT_JANMA   (A6SY30)    ,
SYT_KLEP3   (B5XQC6)    , SYT_KOSOT   (C5CI64)    , SYT_LACAC   (Q5FIW3)    ,
SYT_LACCB   (B3WF49)    , SYT_LACGA   (Q041U6)    , SYT_LACH4   (A8YWE1)    ,
SYT_LACJO   (Q74IC0)    , SYT_LACLA   (Q9CED2)    , SYT_LACLM   (A2RN48)    ,
SYT_LACLS   (Q02WN1)    , SYT_LACP3   (Q037Z6)    , SYT_LACPL   (Q88WU9)    ,
SYT_LARHH   (C1DDA6)    , SYT_LATSS   (Q38VT0)    , SYT_LAWIP   (Q1MRV8)    ,
SYT_LEGPA   (Q5X1H3)    , SYT_LEGPC   (A5IAK9)    , SYT_LEGPH   (Q5ZS05)    ,
SYT_LEGPL   (Q5WT82)    , SYT_LEIXX   (Q6AFC3)    , SYT_LEPBJ   (Q04R58)    ,
SYT_LEPBL   (Q04ZG7)    , SYT_LEPCP   (B1XYZ3)    , SYT_LEPIC   (Q72PK6)    ,
SYT_LEPIN   (Q8F6R1)    , SYT_LEUCK   (B1MXZ5)    , SYT_LEUMM   (Q03YF0)    ,
SYT_LEVBA   (Q03RK3)    , SYT_LIGS1   (Q1WUN2)    , SYT_LISIN   (Q92BF5)    ,
SYT_LISMC   (C1KVK6)    , SYT_LISMF   (Q71ZA9)    , SYT_LISMH   (B8DHI9)    ,
SYT_LISMO   (Q8Y6X2)    , SYT_LISW6   (A0AJ08)    , SYT_MAGMM   (A0L4J6)    ,
SYT_MAGSA   (Q2WAI1)    , SYT_MANSM   (Q65TQ0)    , SYT_MARMM   (Q0AM08)    ,
SYT_MARMS   (A6VYI1)    , SYT_MARN8   (A1U2C3)    , SYT_MARSD   (C6BRH1)    ,
SYT_META3   (A6UW94)    , SYT_METAC   (Q8TLX7)    , SYT_METAR   (Q0W3X9)    ,
SYT_METB6   (A7I6P0)    , SYT_METBF   (Q467V2)    , SYT_METBU   (Q12WD4)    ,
SYT_METCA   (Q60AZ3)    , SYT_METFK   (Q1GZR7)    , SYT_METHJ   (Q2FPK3)    ,
SYT_METJA   (Q58597)    , SYT_METKA   (Q8TXW5)    , SYT_METM5   (A4FZ87)    ,
SYT_METM6   (A9A6L7)    , SYT_METM7   (A6VJ50)    , SYT_METMA   (Q8PRY4)    ,
SYT_METMJ   (A3CTJ9)    , SYT_METMP   (Q6M057)    , SYT_METPE   (B8GHN2)    ,
SYT_METPP   (A2SH07)    , SYT_METS3   (A5UMJ1)    , SYT_METST   (Q2NE13)    ,
SYT_METTH   (O27504)    , SYT_METTP   (A0B8D4)    , SYT_METVS   (A6US27)    ,
SYT_MICLC   (C5CBI2)    , SYT_MYCA1   (A0QID4)    , SYT_MYCA9   (B1MCK6)    ,
